"車站日期",松山機場,中山國中,南京復興,忠孝復興,大安,科技大樓,六張犁,麟光,辛亥,萬芳醫院,萬芳社區,木柵,動物園,大直,劍南路,西湖,港墘,文德,內湖,大湖公園,葫洲,東湖,南港軟體園區,南港展覽館,小碧潭,新店,新店區公所,七張,大坪林,景美,萬隆,公館,台電大樓,古亭,中正紀念堂,小南門,頂溪,永安市場,景安,南勢角,台大醫院,台北車站,中山,雙連,民權西路,圓山,劍潭,士林,芝山,明德,石牌,唭哩岸,奇岩,北投,新北投,復興崗,忠義,關渡,竹圍,紅樹林,淡水,頂埔,永寧,土城,海山,亞東醫院,府中,板橋,新埔,江子翠,龍山寺,西門,善導寺,忠孝新生,忠孝敦化,國父紀念館,市政府,永春,後山埤,昆陽,南港,象山,台北101,信義安和,大安森林公園,北門,松江南京,台北小巨蛋,南京三民,松山,輔大,新莊,頭前庄,先嗇宮,三重,菜寮,台北橋,大橋頭,中山國小,行天宮,東門,蘆洲,三民高中,徐匯中學,三和國中,三重國小,迴龍,丹鳳,十四張,秀朗橋,景平,中和,橋和,中原,板新,Y板橋,新埔民生,幸福,新北產業園區
2015/1/11,7900,19734,32943,84802,22772,17298,13597,6154,5708,15908,2938,5490,18011,11583,21465,10424,11201,7460,12326,6796,9489,12154,2211,30714,3983,20379,16821,21992,26995,29433,14546,49354,33161,43928,41100,7418,52457,39102,35757,31305,21294,293832,61019,29474,35259,46476,67293,46400,43854,14396,42042,10319,9962,28059,17928,5308,3228,14761,15532,10912,72435,0,24522,10917,30046,20747,46821,65448,57637,36414,52067,130358,23892,50499,57375,36187,95135,25652,27254,17587,15544,15176,70486,19639,15935,6207,30169,17698,21272,30049,13647,16555,8534,3887,6002,11886,13734,16927,20645,36836,39376,15894,17935,19112,16703,18188,12520,12124,0,0,0,0,0,0,0,0,0,0,0
2015/1/12,10125,31694,64065,87180,45885,29916,22486,7733,7774,29725,4156,9089,9451,19961,18467,33845,28795,10577,15050,5637,15057,16115,6124,56870,3768,21772,22650,29748,40332,31055,17405,48825,34553,64244,51677,15781,69089,50739,50653,40891,49327,262171,62804,45016,50383,47254,64026,55615,44572,26297,61722,14965,15972,35351,13107,6746,5832,26620,19570,14887,68517,0,30042,13117,39621,37294,52331,67831,80299,48206,54802,117213,41950,56807,72705,42926,108683,39744,35592,30919,22076,18113,65731,30041,11307,10068,70250,34228,33480,31700,25064,20160,9222,8175,7815,17106,16174,23943,32608,54580,43075,22095,23260,23087,22803,22492,16189,15243,0,0,0,0,0,0,0,0,0,0,0
2015/1/13,10186,32110,65802,88190,46310,29433,23238,7836,7823,30579,4384,9299,12051,20470,19919,34917,29106,10709,15398,6437,15287,16262,6086,57897,4023,22317,22524,30057,41151,32346,17498,49708,36129,64307,54456,15881,69693,51757,50192,41096,50240,251234,65545,45547,50798,49290,69200,58696,46490,26401,62878,15410,15793,36485,14101,7113,6134,28093,19966,15154,72963,0,30231,12867,39458,37934,53119,66987,80614,48546,54842,118421,43612,58326,74549,46088,105742,40820,35407,31570,22099,18996,49770,30514,12236,10075,70302,34511,34066,33167,25420,20806,9493,8188,7994,17197,16020,23039,32006,53605,43012,22072,23234,23006,22818,22409,16012,15261,0,0,0,0,0,0,0,0,0,0,0
2015/1/14,9969,32847,67259,92079,46501,30648,22878,7696,6382,31187,4373,9511,11002,20674,19833,35484,29321,10715,15399,5811,15456,16527,6276,57841,4027,21720,22939,30898,41792,30893,17924,50861,36847,65533,55064,15611,70155,52628,51075,41302,50088,255042,66343,45435,51402,49473,68758,57966,48065,26564,63734,15178,16249,36637,13771,7269,6123,29277,20109,15180,70599,0,29574,13349,39894,37691,53447,68578,80705,49603,54181,118554,44892,59593,76919,45874,105716,40510,35202,31450,22283,18999,47498,30554,11696,10117,72512,34965,35050,33038,25383,21237,9749,8433,8182,17380,16547,22314,32866,53691,43422,22154,23593,23923,23035,22420,16126,15509,0,0,0,0,0,0,0,0,0,0,0
2015/1/15,10542,33190,68213,98310,46546,31108,23303,7774,7592,31251,4262,9588,13554,20665,20199,35419,29367,10782,15512,6220,15253,16522,6066,60243,4138,22146,23241,30668,41667,30283,17488,52624,37199,64440,56382,15833,69456,51927,50931,41227,50517,267053,68808,44871,51505,51025,73281,60382,47409,26480,64710,15278,16270,37079,13748,7173,5947,28204,19872,15304,73369,0,30883,13234,39809,38363,53839,68730,81461,49655,55284,122853,46969,60882,77688,45524,110896,40868,36498,31473,22807,18891,50925,30720,11844,10026,73319,36220,34678,33824,26181,21230,9406,8191,7968,16920,16527,22765,32945,54404,43953,22327,23276,23238,22790,22216,16485,15563,0,0,0,0,0,0,0,0,0,0,0
2015/1/16,12181,34878,71719,110417,47893,33051,24732,8239,6561,34279,4578,9900,16077,21450,25302,38092,31712,12169,17187,7054,16182,18070,6400,68563,4223,24244,25220,32950,45537,33537,19311,64868,43716,69075,60870,16235,74937,55324,53761,43850,51491,327542,78949,49156,54419,55378,82935,67801,52191,27712,68452,16427,17069,39958,15551,7718,6162,27452,21306,16364,87295,0,34176,14596,43112,39302,60975,79389,87586,52927,58209,148020,48675,68766,88625,52177,126012,43444,38928,33180,24757,21281,55171,33433,13720,11329,76448,38739,36972,38453,29060,23342,10271,8721,8595,18113,17910,26147,34854,57465,48168,23705,25220,25227,24157,23753,17436,16674,0,0,0,0,0,0,0,0,0,0,0
2015/1/17,11560,23959,44922,112656,28856,22706,18053,7298,5728,21690,3796,6719,19303,14471,30238,13695,14332,8546,15585,6799,12410,14298,2816,40783,4191,22668,20822,27588,35889,28384,17128,71738,43154,57543,44705,8350,64939,47212,44876,37350,28983,337050,78371,41357,39407,49064,82945,59823,45417,19873,53007,12609,12114,32091,19985,6567,3859,17883,18241,12533,81760,0,28689,12758,35366,26699,56816,77835,70398,43594,56183,158665,30536,63380,78977,45895,112514,32822,34263,22220,19183,17015,50625,24880,18607,8600,43213,28396,26849,38404,21148,21213,11037,4719,7018,15089,17233,20968,26695,43128,44358,19803,21214,24269,20224,22056,14635,14700,0,0,0,0,0,0,0,0,0,0,0
2015/1/18,9376,18835,34153,88060,23681,17950,14475,6517,4982,16890,3169,5978,21485,12091,25719,10481,11193,7544,13329,7974,9816,11988,2690,33506,4037,23332,17688,23363,29323,25102,15519,61903,35171,44271,38305,7279,55013,40811,38158,32480,21223,316575,63735,29197,35602,49510,72645,55357,44844,15694,43226,11028,10463,29479,18779,5727,3661,15376,15500,11773,85314,0,26322,11808,31208,23707,48462,71489,59327,37930,51836,133697,24304,51633,59495,38124,93827,28492,28340,18642,17037,16804,44974,19757,21139,7171,32964,23761,22667,31341,16787,18649,10008,3962,6290,13450,14605,17987,22559,36879,38682,17403,19153,20717,17947,19347,14165,13401,0,0,0,0,0,0,0,0,0,0,0
2015/1/19,11456,30693,65542,90177,44366,27974,22921,7543,6059,26384,4355,8937,10610,20063,18550,32993,28710,10730,15092,5944,14786,16152,5980,57308,3683,21711,21998,29280,39691,28753,16739,51609,36511,63289,50048,14070,67811,49945,49351,39437,49529,276998,64444,45567,48161,48747,61474,55294,44227,25654,61008,14848,15573,35211,13436,6745,5891,23762,19212,15060,66921,0,29246,13102,38802,34490,51735,67474,74970,48105,53602,122736,37907,57442,74991,44647,111265,39210,35871,29983,21657,18383,48014,29408,11564,10497,71591,33954,33808,33214,16852,19930,8969,7973,7485,16051,16116,21984,31895,51799,41403,21559,23349,22752,22370,21547,15583,14960,0,0,0,0,0,0,0,0,0,0,0
2015/1/20,10835,32200,67409,95736,46935,29099,23264,8080,6449,27556,4398,9305,15318,21229,19437,35239,29677,11025,15486,6347,15035,17086,6064,63298,4068,23464,22556,31192,41547,30434,17956,56800,38502,65350,54154,13896,70388,52456,50867,40649,52002,278762,69446,46510,50521,51829,71899,62608,47829,26165,63580,15389,16158,37545,15895,7426,6010,24948,20090,15289,71842,0,30315,13299,39407,34971,55229,69401,77903,48926,57857,134446,39721,59338,78621,48745,112000,41330,37261,31208,22503,19648,50503,30991,13227,10775,72589,35602,34857,34478,17169,21034,9441,8753,7895,17059,16940,24270,32900,55241,44595,22916,23998,23607,23445,22484,16051,15118,0,0,0,0,0,0,0,0,0,0,0
